,Affiliatename,City,Country,Affiliateid
0,CrossFit 10K,Helsinki,Finland,7526
1,CrossFit 33400,Tampere,Finland,17342
2,CrossFit 40100,Jyväskylä,Finland,8270
3,CrossFit 60100,Seinäjoki,Finland,14612
4,CrossFit 8000,Espoo,Finland,5313
5,CrossFit Basement,Helsinki,Finland,7050
6,CrossFit Basement Kurvi,Helsinki,Finland,15684
7,CrossFit Central Helsinki,Helsinki,Finland,3332
8,CrossFit Central NLA,Nummela,Finland,4415
9,CrossFit East Turku,Turku,Finland,6977
10,CrossFit Espoo,Espoo,Finland,1515
11,CrossFit Hameenlinna,Hämeenlinna,Finland,9299
12,CrossFit Harka,Helsinki,Finland,17295
13,CrossFit Herttoniemi,Helsinki,Finland,6177
14,CrossFit Huntti,Turku,Finland,18248
15,CrossFit Hyvinkaa,Hyvinkää,Finland,
16,CrossFit Ilves,Hämeenlinna,Finland,17010
17,CrossFit Imatra,Imatra,Finland,13784
18,CrossFit Jarvenpaa,Järvenpää,Finland,13994
19,CrossFit Jeppis,Pietarsaari,Finland,11764
20,CrossFit Jyvaskyla,Jyväskylä,Finland,6183
21,CrossFit Kaarina,Kaarina,Finland,
22,CrossFit Kauhava,Kauhava,Finland,
23,CrossFit Keha,Vantaa,Finland,16065
24,CrossFit Kemijarvi,Kemijärvi,Finland,
25,CrossFit Kerava,Kerava,Finland,3856
26,CrossFit Kirkkonummi,Kirkkonummi,Finland,10908
27,CrossFit Kokkola,Kokkola,Finland,
28,CrossFit Kuopio,Kuopio,Finland,3554
29,CrossFit Kuusankoski,Kuusankoski,Finland,11525
30,CrossFit Lahti,Lahti,Finland,12891
31,CrossFit Lappeenranta,Lappeenranta,Finland,2182
32,CrossFit Lappeenranta Varikko,Lappeenranta,Finland,12582
33,CrossFit Lapua,Lapua,Finland,13052
34,CrossFit Lauttasaari,Helsinki,Finland,7508
35,CrossFit Lohja,Lohja,Finland,7481
36,CrossFit Loviisa,Loviisa,Finland,3792
37,CrossFit Marienhamn,Maarianhamina,Finland,
38,CrossFit Mikkeli,Mikkeli,Finland,11973
39,CrossFit Myrsky,Helsinki,Finland,18786
40,CrossFit Naantali,Naantali,Finland,3121
41,CrossFit Nuijala,Espoo,Finland,17474
42,CrossFit Oulu,Oulu,Finland,3772
43,CrossFit Paja,Joensuu,Finland,16974
44,CrossFit Pieksamaki,Pieksämäki,Finland,9524
45,CrossFit Pori,Pori,Finland,9323
46,CrossFit Porvoo,Porvoo,Finland,3184
47,CrossFit Raisio,Raisio,Finland,17635
48,CrossFit Rauma,Rauma,Finland,9777
49,CrossFit Routa,Oulu,Finland,16490
50,CrossFit Rovaniemi,Rovaniemi,Finland,
51,CrossFit Seinäjoki,Nurmo,Finland,6946
52,CrossFit Siilinjarvi,Siilinjärvi,Finland,7765
53,CrossFit SixtyFive100,Vaasa,Finland,12672
54,CrossFit SLN,Savonlinna,Finland,9553
55,CrossFit Sornainen,Helsinki,Finland,9149
56,CrossFit Takomo,Helsinki,Finland,14368
57,CrossFit Tampere,Tampere,Finland,1757
58,CrossFit Tehdas,Vantaa,Finland,19113
59,CrossFit Tuusula,Tuusula,Finland,3662
60,CrossFit Vallila,Helsinki,Finland,15792
61,CrossFit Vantaa,Vantaa,Finland,7232
62,Eagle Town CrossFit,Kotka,Finland,5475
63,North Engine CrossFit,Helsinki,Finland,16186
64,Reebok CrossFit 33100,Tampere,Finland,3351
65,Reebok CrossFit Turku,Turku,Finland,60
66,Santasport CrossFit,Rovaniemi,Finland,8773
67,Stadi CrossFit,Helsinki,Finland,11659
68,CrossFit Svartbox,Kuopio,Finland,18088
